id,cust_id,order_date,order_quantity,order_details,order_cost
1,3,2019/03/04,4,Coat,100
2,3,2019/03/01,1,Shoes,80
3,3,2019/03/04,1,Skirt,30
4,7,2019/02/01,1,Coat,100
5,7,2019/03/10,1,Shoes,80
6,15,2019/02/01,2,Boats,100
7,15,2019/01/11,3,Shirts,60
8,15,2019/03/11,1,Slipper,20
9,15,2019/03/01,2,Jeans,80
10,15,2019/03/09,3,Shirts,50
11,5,2019/02/01,1,Shoes,80
12,12,2019/01/11,3,Shirts,60
13,12,2019/03/11,1,Slipper,20
14,4,2019/02/01,1,Shoes,80
15,4,2019/01/11,3,Shirts,60
16,3,2019/04/19,3,Shirts,50
17,7,2019/04/19,1,Suit,150
18,15,2019/04/19,1,Skirt,30
19,15,2019/04/19,2,Dresses,200
20,12,2019/01/11,5,Coat,20
21,7,2019/04/01,1,Suit,50
22,7,2019/04/02,1,Skirt,30
23,7,2019/04/03,1,Dresses,50
24,7,2019/04/04,1,Coat,25
