ds,id_user,ds_checkin,ds_checkout,n_searches,n_nights,n_guests_min,n_guests_max,origin_country,filter_price_min,filter_price_max,filter_room_types,filter_neighborhoods
2014-10-11,67aece73-e112-4e9e-9e05-8a2a94b003b9,,,5,,1,1,IT,0,99,",Private room",
2014-10-01,6cbb33d1-6ecc-4f74-8b6a-a43d07d484b6,2014-10-04,2014-10-07,11,3,3,3,ES,0,567,",Entire home/apt,Entire home/apt,Private room,Entire home/apt,Private room,Shared room",
2014-10-03,aa9cf5bf-5667-4212-8018-1cb8beee530e,2014-11-14,2014-11-16,17,2,2,2,GB,0,171,",Entire home/apt",
2014-10-09,3e6c2466-74fe-44c0-a6f3-dda79755d30a,2015-02-26,2015-03-02,9,4,1,4,GB,0,240,",Entire home/apt",
2014-10-13,a09bf912-b21d-4859-b194-8512c30695f6,2014-10-18,2014-10-22,7,4,1,2,GB,,,",Entire home/apt",
2014-10-01,0f4ea370-702c-4f08-a00d-98e67c2a3574,2014-10-10,2014-10-12,16,2,6,8,US,0,345,",Entire home/apt",
2014-10-08,b2fda15a-89bb-4e6e-ae81-8b21598e2482,,,4,,1,2,FR,0,78,",Private room",
2014-10-04,0f4ea370-702c-4f08-a00d-98e67c2a3574,2014-10-10,2014-10-13,25,3,3,8,US,0,200,",Entire home/apt",
2014-10-05,b6a8b1f9-5b40-4edd-91f3-ee522b0f9e5b,2014-12-27,2015-01-03,24,7,1,4,FR,91,1073741823,Entire home/apt,
2014-10-05,86b39b70-965b-479d-a0b0-719b195acea2,2015-03-13,2015-03-18,4,5,5,5,IE,,,Entire home/apt,
2014-10-06,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,2015-03-15,2015-03-18,6,3,2,5,AU,0,376,Entire home/apt,
2014-10-10,86b39b70-965b-479d-a0b0-719b195acea2,2014-10-23,2014-10-26,10,3,7,7,IE,,,",Entire home/apt",
2014-10-04,fad1a097-a511-4f44-a603-6a271c1f159e,2014-10-05,2014-10-06,11,1,1,2,IE,0,63,",Private room,Entire home/apt",
2014-10-12,d328a4a0-df5f-4851-a864-a8845b45c1e0,2014-10-23,2014-10-29,2,6,1,1,DE,0,63,",Private room",
2014-10-06,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,2015-06-12,2015-06-14,40,2,1,12,GB,0,600,Entire home/apt,
2014-10-04,126ed661-fa20-4041-ac16-ec118bbcce3b,,,24,,1,4,GB,18,1073741823,",Entire home/apt,Private room,Shared room",
2014-10-03,598f8459-96f6-4400-8bce-1474757dd589,2015-03-12,2015-03-19,16,7,1,2,TR,,,",Entire home/apt",
2014-10-09,02f0a750-34da-4268-94e8-f1a371f0460e,2014-11-11,2014-11-19,84,8,1,2,IT,0,73,Private room,
2014-10-02,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,2015-03-20,2015-03-22,23,2,5,5,AU,0,237,",Entire home/apt",
2014-10-02,37a63847-b09a-4f32-81a5-97cfb8e84c6d,2015-03-11,2015-03-19,179,8,1,2,US,0,860,",Entire home/apt,Entire home/apt,Private room,Private room",",City Centre,City Centre,Temple Bar,Trinity College"
2014-10-05,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,2015-06-05,2015-06-14,1,9,4,4,GB,,,Entire home/apt,
2014-10-10,3e6c2466-74fe-44c0-a6f3-dda79755d30a,2015-02-26,2015-03-03,3,5,4,4,GB,0,116,Entire home/apt,
2014-10-05,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,2015-06-12,2015-06-14,170,2,2,16,GB,0,345,",Entire home/apt",
2014-10-14,72f07b78-99e1-46ac-8452-19dd2053eca3,2014-10-30,2014-11-02,7,3,3,3,US,,,",Entire home/apt",",Docklands,Ringsend/Irishtown"
2014-10-08,2889fccc-37ab-4a66-8d64-41b31314c7fc,2014-10-31,2014-11-03,79,3,2,2,ES,0,604,",Entire home/apt,Entire home/apt,Private room",
2014-10-13,0a8e121b-c09c-4de1-abcc-81bce87de29e,2014-12-19,2014-12-20,66,1,1,2,ES,0,92,",Private room",
2014-10-08,67aece73-e112-4e9e-9e05-8a2a94b003b9,,,6,,1,1,IT,0,198,",Private room",
2014-10-01,6a8cf97f-8a77-4b55-b79a-b560bca414a4,2014-11-07,2014-11-10,1,3,2,2,NL,0,137,Entire home/apt,
2014-10-05,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,,,10,,1,4,GB,0,129,",Entire home/apt",
2014-10-13,bb490ede-8a70-4d61-a2e8-625855a393e2,2014-11-03,2014-11-07,2,4,2,2,DE,0,90,"Entire home/apt,Private room,Private room",
2014-10-02,6c541a87-d864-4de8-ae05-70ae57b50976,2014-10-16,2014-10-22,22,6,1,1,IT,0,1073741823,",Private room",
2014-10-01,1a66fe1c-fea6-4ec6-96c4-3ea3e0c7815e,2015-03-15,2015-03-18,52,3,5,5,FR,,,",Entire home/apt,Entire home/apt,Private room",
2014-10-02,bd8f3dd6-fecc-479a-a88f-1d0049600e9f,2014-10-09,2014-11-07,8,29,2,2,US,,,",Entire home/apt,Entire home/apt,Private room",
2014-10-09,ca6a9321-d7f9-42e9-aeb1-5d1832034da0,2014-10-17,2014-10-20,3,3,2,2,GB,0,156,Entire home/apt,
