business_name,review_id,user_id,stars,review_date,review_text,funny,useful,cool
AutohausAZ,C4TSIEcazRay0qIRPeMAFg,jlbPUcCRiXlMtarzi9sW5w,5,2011-06-27,Autohaus is my main source for parts for an old Mercedes that has been in the family since new that I am restoring. The old beater is truly a labor of,1,2,1
Citizen Public House,ZZ0paqUsSX-VJbfodTp1cQ,EeCWSGwMAPzwe_c1Aumd1w,4,2013-03-18,"First time in PHX. Friend recommended. Friendly waitstaff. They were understaffed and extremely busy, but we never knew. The short ribs were tende",0,0,0
Otto Pizza & Pastry,pF6W5JOPBK6kOXTB58cYrw,JG1Gd2mN2Qk7UpCqAUI-BQ,5,2013-03-14,LOVE THIS PIZZA! This is now one of my favorite pizza places in phoenix area. My husband i walked into this cute family owned business and were greet,0,0,0
Giant Hamburgers,QBddRcflAcXwE2qhsLVv7w,T90ybanuLhAr0_s99GDeeg,3,2009-03-27,"ok, so I tried this place out based on other reviews. I had the cheeseburger with everything, some fries, and a chocolate shake. The burger was okay,",0,1,1
Tammie Coe Cakes,Y8UMm_Ng9oEpJbIygoGbZQ,MWt24-6bfv_OHLKhwMQ0Tw,3,2008-08-25,Overrated. The treats are tasty but certainly not the best I have ever had. I would have rated this a two star but the cakes and cookies are REALLY pr,1,3,2
Marcellino Ristorante,GTUOIBCEGGt_aGp-bRogfg,gopGuEb-ft6cHKMyCZEvJg,1,2010-12-17,This place sucks. Food was average and we had to wait an hour even though we had a reservation. My americano tasted like warm soy sauce and they blame,2,3,0
Shanghai Club,wHfxd0Bq4JYLiUEO55xe4Q,eVQ_yDkMlF62oofUwc29Kw,5,2013-09-19,This is our favorite Chinese restaurant in the area! The service is always consistent and our favorite waitress - Becky - always makes time to spend w,0,0,0
Freddys Frozen Custard & Steakburgers,NfTR_B1yW1hPVEoXlSJV-w,YnHYlN1m7jDhAH9XgR4Dlg,4,2013-01-24,Love the tiny fries.,1,0,0
Chipotle Mexican Grill,k-Oo0Gs4AC04GJAecu_iWg,HjpzhIQFRQbFmc_7CtFDmg,4,2011-05-11,"When you don't feel like a full restaurant and you want more than the normal Mexican fast food, Chipolte fits the bill. The food is always fresh, the",0,0,0
Arizona Fire & Water Restoration,uvVmBnYQf8Mnt-s64D8XOg,zQP7cLujr-MJ207uuNFC1w,5,2011-08-03,This is a fantastic company. They have a very high rating with BBB and have won a ton of customer service awards. Hopefully you dont need them but i,0,0,0
Arriba Mexican Grill,0HOrc_RX87-01dbdFMSjJw,8m8HQtZox4vS-N-AW3mzxw,5,2013-12-31,"Open Christmas Day! Their food is delicious. Especially breakfast! Mmmm, the salsa mmmmm. Hatch chills, pork, chicken...pollo asada, carne asada...you",1,1,0
Renegade Tap & Kitchen,ZaCA3v9bWUpHuwZ6NO8C1Q,iVTzpbZ6qBdFllvcJLbmeg,4,2011-02-26,"Dinner on a busy Friday night. Arrived on time for 7:30 reservation. Table not ready, restaurant and bar full. Host and hostess pleasant, but not o",0,0,1
